20,81.9,184,0,7.62,0,1,0,99.214,7.2,0.4
30,80.7,187,0,7.94,0,1,0,99.412,7.1,0.5
40,79.7,194,0,7.72,0,1,0,99.334,7.1,0.5
50,79,197,0.1,6.08,0,1,0,98.908,7.1,0.6
60,78.9,199,0.1,5.68,0,1,0,99.618,7,0.6
70,78.5,202,0.5,3.87,0,1,0,103.392,7,0.6
80,78.7,207,47.5,5.34,0,1,0,117.888,7,0.6
90,80.2,209,221,6.19,0,1,0,150.93,7.4,0.6
100,83.4,201,436.7,7.43,0,1,0,166.22,7.9,0.6
110,86.5,178,576.8,9.93,0,1,0,170.684,7.9,0.5
120,88.9,156,723.7,8.37,0,1,0,170.116,8,0.5
130,92,133,1025,7.45,0,1,0,166.964,8,0.6
140,93.3,122,677.8,6.8,0,1,0,170.264,8,0.5
150,94.5,114,721.3,5.2,0,1,0,172.05,7.9,0.4
160,96.3,103,768.6,5.77,0,1,0,169.542,7.8,0.4
170,97,100,587,5.08,0,1,0,160.12,7.6,0.5
180,97,98,353.3,5.65,0,1,0,131.28,7.4,0.4
190,96.6,98,230.3,6.26,0,1,0,117.54,7.1,0.5
200,95.2,104,44.5,6.03,0,1,0,112.38,7.2,0.4
210,92.8,113,-0.6,4.31,0,1,0,112.59,7.1,0.5
220,90.4,135,-0.5,5.56,0,1,0,107.354,7.2,0.4
230,87.8,158,-0.4,4.72,0,1,0,100.616,7.3,0.5
0,85.9,173,-0.4,4.35,1,2,0,98.678,7.4,0.5
10,84.2,186,-0.1,4.56,1,2,0,97.554,7.3,0.5
20,83,192,-0.1,4.08,1,2,0,96.518,7.3,0.6
30,81.7,199,0,3.02,1,2,0,95.794,7.3,0.5
40,80.7,206,0,5.9,1,2,0,94.938,7.3,0.6
50,80.2,212,0.1,6.71,1,2,0,94.306,7.2,0.6
60,79.6,216,0.1,7.38,1,2,0,94.19,7.1,0.7
70,79,216,0.4,5.32,1,2,0,94.302,7.1,0.7
80,79,216,53.6,3.2,1,2,0,92.208,7.1,0.8
90,80.2,222,228.8,5.32,1,2,0,93.988,7.2,0.8
100,83.5,209,393.3,7.26,1,2,0,98.278,7.3,0.8
110,87.1,179,626.6,6.96,1,2,0,102.376,7.4,0.8
120,89.9,152,740.8,7.01,1,2,0,103.862,7.4,0.8
130,92.5,134,739.3,3.68,1,2,0,103.092,7.3,0.8
140,94.6,116,915,3.26,1,2,0,105.298,7.2,0.7
150,95.6,106,589.5,2.85,1,2,0,108.106,7.2,0.8
160,98.3,97,883.8,2.21,1,2,0,109.482,7.1,0.7
170,98.6,95,696.8,5.49,1,2,0,107.66,7.3,0.8
180,98.5,97,457.7,6.36,1,2,0,102.76,7.3,0.7
190,97.7,92,208.8,7.21,1,2,0,100.4,7.1,0.7
200,96.1,100,24.8,4.8,1,2,0,98.488,6.9,0.7
210,94.4,105,-0.6,4.24,1,2,0,99.28,6.9,0.8
220,91.4,127,-0.5,6.63,1,2,0,100.342,7,0.7
230,88.7,159,-0.4,4.27,1,2,0,93.368,7.1,0.8
0,86.8,178,-0.2,4.77,1,3,0,91.088,7.2,0.7
10,85.3,181,-0.2,4.52,1,3,0,88.922,7.2,0.7
20,84.1,185,-0.1,6.96,1,3,0,88.004,7.1,0.7
30,83.2,187,-0.1,4,1,3,0,86.866,7.1,0.8
40,82.6,188,0,2.06,1,3,0,86.602,7,0.7
50,81.7,194,0,9.63,1,3,0,86.838,7.1,0.8
60,80.8,200,0,10.35,1,3,0,86.37,7,0.7
70,80.1,205,0.4,5.05,1,3,0,85.918,7,0.8
80,79.7,207,44.3,3.46,1,3,0,83.168,7,0.8
90,81.1,207,218.3,5.34,1,3,0,84.234,7,0.9
100,84.2,184,435.7,7.72,1,3,0,87.268,7.2,0.9
110,88.4,146,639.3,2.66,1,3,0,93.424,7,0.9
120,92.4,123,806.7,2.5,1,3,0,96.504,7,0.9
130,94.1,107,910.1,2.91,1,3,0,98.21,6.9,0.8
140,96.6,92,958.9,3.24,1,3,0,98.324,6.9,0.8
150,98,81,966.7,5.12,1,3,0,100.022,7,0.8
160,98.8,78,799.8,5.75,1,3,0,101.594,6.9,0.8
170,99.5,61,613.4,4.83,1,3,0,102.918,6.8,0.8
180,99.2,75,327.9,7.4,1,3,0,101.554,6.8,0.8
190,97.5,93,178.5,9.74,1,3,0,98.914,6.9,0.7
200,95.3,106,33.6,7.84,1,3,0,99.67,6.9,0.8
210,92.5,116,-0.5,4.25,1,3,0,104.924,6.8,0.8
220,90.6,125,-0.4,5.37,1,3,0,105.102,6.9,0.9
230,88,141,-0.2,5.08,1,3,0,103.82,6.9,0.7
0,86.5,148,-0.2,5.2,0,4,2,100.218,6.8,0.9
10,85.9,154,-0.1,3.99,0,4,2,98.674,6.9,0.8
20,84.7,158,0,2.48,0,4,2,100.294,6.9,0.7
30,83.5,158,0,2.29,0,4,2,100.012,6.9,0.8
40,82.8,162,0,0.44,0,4,2,98.992,6.8,0.9
50,83.3,164,0.1,0.08,0,4,2,98.024,6.8,0.8
60,82.7,167,0.1,0.8,0,4,2,98.154,6.7,0.9
70,80.7,173,0.4,1,0,4,2,104.15,6.8,0.9
80,79.7,176,38,2.29,0,4,2,122.498,6.7,0.9
90,80.7,178,171.4,4.84,0,4,2,155.394,7.2,0.8
100,83.6,176,384,4.39,0,4,2,168.78,7.6,0.8
110,87.3,161,586.5,4.19,0,4,2,168.274,7,0.4
120,90.4,155,599.7,2.31,0,4,2,165.806,5.7,0.4
130,92.6,144,800.8,1.95,0,4,2,169.908,4.8,0.4
140,95.2,118,839.9,4.5,0,4,2,172.222,5.1,0.4
150,96.2,108,783.2,6.25,0,4,2,178.112,6.5,0.3
160,97.5,100,750.5,7.13,0,4,2,176.68,6.4,0.3
170,96,105,257.6,9,0,4,2,171.452,6.8,0.3
180,96.1,99,317.1,8.13,0,4,2,145.364,7.7,0.3
190,96.8,89,219.5,9.84,0,4,2,130.704,8,0.3
200,94.5,105,30.9,7.19,0,4,2,126.226,7.3,0.3
210,92,115,-0.6,5.71,0,4,2,128.53,7.5,0.4
220,89.8,118,-0.5,5.48,0,4,2,126.704,7.6,0.3
230,87.9,116,-0.4,5.08,0,4,2,119.4,7.4,0.3
0,86.2,112,-0.2,5.4,0,5,0,110.42,7.1,0.4
10,84.9,117,-0.1,3.53,0,5,0,105.122,6.9,0.4
20,82.9,124,0,2.5,0,5,0,102.1,7,0.4
30,82.5,120,0.1,0,0,5,0,100.826,6.9,0.5
40,82,122,0.3,2.24,0,5,0,100.006,6.8,0.4
50,81.4,127,0.3,0.55,0,5,0,98.736,6.7,0.5
60,79.6,131,0.3,1.05,0,5,0,98.924,6.8,0.5
70,76.9,128,0.6,2.21,0,5,0,104.338,6.6,0.6
80,76.6,126,38.2,2.38,0,5,0,120.906,6.5,0.7
90,77.8,126,199,4.09,0,5,0,156.616,6.7,0.8
100,82,123,418.7,3.38,0,5,0,167.602,7,0.7
110,86.4,132,625.6,3.87,0,5,0,175.884,7.8,0.7
